video_id,channel_id,channel_name,duration_sec,category,video_url
PS72dWN5gPg,UCN6sm8iHiPd0cnoUardDAnw,Jamuna TV,400.0,News,https://www.youtube.com/watch?v=PS72dWN5gPg
PTnwuTdm7pM,UCuaKfe_NyVViSRTx25VhkWQ,Kabbik - Bangla Audiobook,1429.0,Audio-book,https://www.youtube.com/watch?v=PTnwuTdm7pM
PXVKurAhBXU,UCiF1OI_7p7KBD1ccyT6wUFA,FNS TV,1467.0,Comedy / Satire,https://www.youtube.com/watch?v=PXVKurAhBXU
P_NOe61HFuk,UC5T7NU1C2GRViwJgwLOXk2g,Abhijit Story Zone,3261.0,Audio-book,https://www.youtube.com/watch?v=P_NOe61HFuk
PcQZTx-waB4,UCsjSRfeVFmJcps2Bki1dRCw,NTV Drama,2692.0,Natok,https://www.youtube.com/watch?v=PcQZTx-waB4
PijU7UXcJU4,UCaE9aMdlRomFYL4LkGhC1FQ,NAF Entertainment,4317.0,Natok,https://www.youtube.com/watch?v=PijU7UXcJU4
PjaxMWr8hes,UCPihnmmuYscyPAIQVkVuegA,VHF TV,3193.0,Comedy / Satire,https://www.youtube.com/watch?v=PjaxMWr8hes
Pv_jel4iZHc,UCAgSJWQR0kZRm4020_BPNpQ,Abdul Hamid Madani,2723.0,Waz,https://www.youtube.com/watch?v=Pv_jel4iZHc
Pyfp8OKgkBc,UCeNFssPnBfjYw7q6BAQdsuw,WHAT A SHOW!,4784.0,Comedy / Satire,https://www.youtube.com/watch?v=Pyfp8OKgkBc
QAvou5A_KRw,UC9jsDC5iXnPBrRXAIGmbIQQ,Club 11 Entertainment,4019.0,Natok,https://www.youtube.com/watch?v=QAvou5A_KRw
